club_name,league_name
Aberdeen FC,Scottish Premiership 2024/25
Celtic FC,Scottish Premiership 2024/25
Dundee FC,Scottish Premiership 2024/25
Dundee United,Scottish Premiership 2024/25
Heart of Midlothian,Scottish Premiership 2024/25
Hibernian FC,Scottish Premiership 2024/25
Kilmarnock FC,Scottish Premiership 2024/25
Motherwell FC,Scottish Premiership 2024/25
Rangers FC,Scottish Premiership 2024/25
Ross County FC,Scottish Premiership 2024/25
St. Johnstone FC,Scottish Premiership 2024/25
St. Mirren FC,Scottish Premiership 2024/25
Athletic Club,Spain Primera División 2024/25
Getafe CF,Spain Primera División 2024/25
Real Betis Balompié,Spain Primera División 2024/25
Girona FC,Spain Primera División 2024/25
RC Celta de Vigo,Spain Primera División 2024/25
Deportivo Alavés,Spain Primera División 2024/25
UD Las Palmas,Spain Primera División 2024/25
Sevilla FC,Spain Primera División 2024/25
CA Osasuna,Spain Primera División 2024/25
CD Leganés,Spain Primera División 2024/25
Valencia CF,Spain Primera División 2024/25
FC Barcelona,Spain Primera División 2024/25
Real Sociedad de Fútbol,Spain Primera División 2024/25
Rayo Vallecano de Madrid,Spain Primera División 2024/25
RCD Mallorca,Spain Primera División 2024/25
Real Madrid CF,Spain Primera División 2024/25
Real Valladolid CF,Spain Primera División 2024/25
RCD Espanyol de Barcelona,Spain Primera División 2024/25
Villarreal CF,Spain Primera División 2024/25
Club Atlético de Madrid,Spain Primera División 2024/25
Genoa CFC,Italian Serie A 2024/25
FC Internazionale Milano,Italian Serie A 2024/25
Parma Calcio 1913,Italian Serie A 2024/25
ACF Fiorentina,Italian Serie A 2024/25
Empoli FC,Italian Serie A 2024/25
AC Monza,Italian Serie A 2024/25
AC Milan,Italian Serie A 2024/25
Torino FC,Italian Serie A 2024/25
Bologna FC 1909,Italian Serie A 2024/25
Udinese Calcio,Italian Serie A 2024/25
Hellas Verona FC,Italian Serie A 2024/25
SSC Napoli,Italian Serie A 2024/25
Cagliari Calcio,Italian Serie A 2024/25
AS Roma,Italian Serie A 2024/25
SS Lazio,Italian Serie A 2024/25
Venezia FC,Italian Serie A 2024/25
US Lecce,Italian Serie A 2024/25
Atalanta BC,Italian Serie A 2024/25
Juventus FC,Italian Serie A 2024/25
Como 1907,Italian Serie A 2024/25
Le Havre AC,French Ligue 1 2024/25
Paris Saint-Germain FC,French Ligue 1 2024/25
Stade Brestois 29,French Ligue 1 2024/25
Olympique de Marseille,French Ligue 1 2024/25
Stade de Reims,French Ligue 1 2024/25
Lille OSC,French Ligue 1 2024/25
AS Monaco FC,French Ligue 1 2024/25
AS Saint-Étienne,French Ligue 1 2024/25
AJ Auxerre,French Ligue 1 2024/25
OGC Nice,French Ligue 1 2024/25
Montpellier HSC,French Ligue 1 2024/25
RC Strasbourg Alsace,French Ligue 1 2024/25
Toulouse FC,French Ligue 1 2024/25
FC Nantes,French Ligue 1 2024/25
Angers SCO,French Ligue 1 2024/25
Racing Club de Lens,French Ligue 1 2024/25
Stade Rennais FC 1901,French Ligue 1 2024/25
Olympique Lyonnais,French Ligue 1 2024/25
Manchester United FC,English Premier League 2024/25
Fulham FC,English Premier League 2024/25
Ipswich Town FC,English Premier League 2024/25
Liverpool FC,English Premier League 2024/25
Arsenal FC,English Premier League 2024/25
Wolverhampton Wanderers FC,English Premier League 2024/25
Everton FC,English Premier League 2024/25
Brighton & Hove Albion FC,English Premier League 2024/25
Newcastle United FC,English Premier League 2024/25
Southampton FC,English Premier League 2024/25
Nottingham Forest FC,English Premier League 2024/25
AFC Bournemouth,English Premier League 2024/25
West Ham United FC,English Premier League 2024/25
Aston Villa FC,English Premier League 2024/25
Brentford FC,English Premier League 2024/25
Crystal Palace FC,English Premier League 2024/25
Chelsea FC,English Premier League 2024/25
Manchester City FC,English Premier League 2024/25
Leicester City FC,English Premier League 2024/25
Tottenham Hotspur FC,English Premier League 2024/25
Blackburn Rovers FC,English Championship 2024/25
Derby County FC,English Championship 2024/25
Preston North End FC,English Championship 2024/25
Sheffield United FC,English Championship 2024/25
Cardiff City FC,English Championship 2024/25
Sunderland AFC,English Championship 2024/25
Hull City AFC,English Championship 2024/25
Bristol City FC,English Championship 2024/25
Leeds United FC,English Championship 2024/25
Portsmouth FC,English Championship 2024/25
Middlesbrough FC,English Championship 2024/25
Swansea City AFC,English Championship 2024/25
Millwall FC,English Championship 2024/25
Watford FC,English Championship 2024/25
Oxford United FC,English Championship 2024/25
Norwich City FC,English Championship 2024/25
Queens Park Rangers FC,English Championship 2024/25
West Bromwich Albion FC,English Championship 2024/25
Stoke City FC,English Championship 2024/25
Coventry City FC,English Championship 2024/25
Sheffield Wednesday FC,English Championship 2024/25
Plymouth Argyle FC,English Championship 2024/25
Luton Town FC,English Championship 2024/25
Burnley FC,English Championship 2024/25
Sporting Clube de Portugal,Portuguese Primeira Liga 2024/25
Rio Ave FC,Portuguese Primeira Liga 2024/25
AVS,Portuguese Primeira Liga 2024/25
CD Nacional,Portuguese Primeira Liga 2024/25
Casa Pia AC,Portuguese Primeira Liga 2024/25
Boavista FC,Portuguese Primeira Liga 2024/25
FC Porto,Portuguese Primeira Liga 2024/25
Gil Vicente FC,Portuguese Primeira Liga 2024/25
GD Estoril Praia,Portuguese Primeira Liga 2024/25
CD Santa Clara,Portuguese Primeira Liga 2024/25
SC Farense,Portuguese Primeira Liga 2024/25
Moreirense FC,Portuguese Primeira Liga 2024/25
FC Famalicão,Portuguese Primeira Liga 2024/25
Sport Lisboa e Benfica,Portuguese Primeira Liga 2024/25
Sporting Clube de Braga,Portuguese Primeira Liga 2024/25
CF Estrela da Amadora,Portuguese Primeira Liga 2024/25
FC Arouca,Portuguese Primeira Liga 2024/25
Vitória Guimarães,Portuguese Primeira Liga 2024/25
Borussia Mönchengladbach,Deutsche Bundesliga 2024/25
Bayer 04 Leverkusen,Deutsche Bundesliga 2024/25
RB Leipzig,Deutsche Bundesliga 2024/25
VfL Bochum 1848,Deutsche Bundesliga 2024/25
TSG 1899 Hoffenheim,Deutsche Bundesliga 2024/25
Holstein Kiel,Deutsche Bundesliga 2024/25
SC Freiburg,Deutsche Bundesliga 2024/25
VfB Stuttgart,Deutsche Bundesliga 2024/25
FC Augsburg,Deutsche Bundesliga 2024/25
SV Werder Bremen,Deutsche Bundesliga 2024/25
1. FSV Mainz 05,Deutsche Bundesliga 2024/25
1. FC Union Berlin,Deutsche Bundesliga 2024/25
Borussia Dortmund,Deutsche Bundesliga 2024/25
Eintracht Frankfurt,Deutsche Bundesliga 2024/25
VfL Wolfsburg,Deutsche Bundesliga 2024/25
FC Bayern München,Deutsche Bundesliga 2024/25
FC St. Pauli 1910,Deutsche Bundesliga 2024/25
1. FC Heidenheim 1846,Deutsche Bundesliga 2024/25
