club_name,league_name
Aston Villa FC,UEFA Champions League 2024/25
FC Bayern München,UEFA Champions League 2024/25
Real Madrid CF,UEFA Champions League 2024/25
FC Internazionale Milano,UEFA Champions League 2024/25
Paris Saint-Germain FC,UEFA Champions League 2024/25
Borussia Dortmund,UEFA Champions League 2024/25
FC Barcelona,UEFA Champions League 2024/25
Arsenal FC,UEFA Champions League 2024/25
Legia Warszawa,UEFA Europa Conference League 2024/25
Chelsea FC,UEFA Europa Conference League 2024/25
Djurgarden FC,UEFA Europa Conference League 2024/25
Rapid Wien,UEFA Europa Conference League 2024/25
NK Celje,UEFA Europa Conference League 2024/25
ACF Fiorentina,UEFA Europa Conference League 2024/25
Real Betis Balompié,UEFA Europa Conference League 2024/25
Jagiellonia Białystok,UEFA Europa Conference League 2024/25
Olympique Lyonnais,UEFA Europa League 2024/25
Manchester United FC,UEFA Europa League 2024/25
Tottenham Hotspur FC,UEFA Europa League 2024/25
Eintracht Frankfurt,UEFA Europa League 2024/25
Rangers FC,UEFA Europa League 2024/25
Athletic Club,UEFA Europa League 2024/25
Bodø/Glimt,UEFA Europa League 2024/25
SS Lazio,UEFA Europa League 2024/25
